YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	198	1.016	-0.00	294.23	4.50	202.63	218.26
1998	199	1.016	-0.00	295.18	4.59	189.40	219.21
1998	200	1.016	-0.00	296.14	4.68	176.16	220.16
1998	201	1.016	-0.00	297.09	4.77	162.93	221.12
1998	202	1.016	-0.00	298.05	4.86	149.69	222.07
1998	203	1.016	-0.00	299.00	4.95	136.46	223.02
1998	204	1.016	-0.00	299.96	5.04	123.23	223.98
1998	205	1.016	-0.00	300.91	5.13	109.99	224.93
1998	206	1.016	-0.00	301.87	5.21	96.76	225.89
1998	207	1.016	-0.00	302.82	5.29	83.53	226.84
1998	208	1.016	-0.00	303.78	5.38	70.30	227.80
1998	209	1.015	-0.00	304.73	5.46	57.07	228.76
1998	210	1.015	-0.00	305.69	5.53	43.84	229.71
1998	211	1.015	-0.00	306.64	5.61	30.67	230.67
1998	212	1.015	-0.00	307.60	5.69	17.44	231.63
1998	213	1.015	-0.00	308.56	5.76	4.21	232.59
1998	214	1.015	-0.00	309.51	5.83	350.98	233.54
1998	215	1.015	-0.00	310.47	5.90	337.75	234.50
1998	216	1.015	-0.00	311.43	5.97	324.53	235.46
1998	217	1.014	-0.00	312.38	6.04	311.30	236.42
1998	218	1.014	-0.00	313.34	6.11	298.07	237.38
1998	219	1.014	-0.00	314.30	6.17	284.85	238.35
1998	220	1.014	-0.00	315.26	6.23	271.62	239.31
1998	221	1.014	-0.00	316.22	6.29	258.40	240.27
1998	222	1.014	-0.00	317.18	6.35	245.17	241.23
1998	223	1.014	-0.00	318.14	6.41	231.95	242.20
1998	224	1.013	-0.00	319.09	6.47	218.72	243.16
1998	225	1.013	-0.00	320.05	6.52	205.50	244.13
1998	226	1.013	-0.00	321.01	6.57	192.28	245.09
1998	227	1.013	-0.00	321.97	6.62	179.06	246.06
1998	228	1.013	-0.00	322.94	6.67	165.83	247.02
1998	229	1.012	-0.00	323.90	6.72	152.61	247.99
1998	230	1.012	-0.00	324.86	6.76	139.39	248.96
1998	231	1.012	-0.00	325.82	6.80	126.24	249.92
1998	232	1.012	-0.00	326.78	6.84	113.02	250.89
1998	233	1.012	-0.00	327.75	6.88	99.80	251.86
1998	234	1.011	-0.00	328.71	6.92	86.58	252.83
1998	235	1.011	-0.00	329.67	6.95	73.36	253.80
1998	236	1.011	-0.00	330.64	6.99	60.15	254.77
1998	237	1.011	-0.00	331.60	7.02	46.93	255.74
1998	238	1.011	-0.00	332.56	7.05	33.71	256.71
1998	239	1.010	-0.00	333.53	7.07	20.50	257.68
1998	240	1.010	-0.00	334.50	7.10	7.28	258.66
1998	241	1.010	-0.00	335.46	7.12	354.07	259.63
1998	242	1.010	-0.00	336.43	7.14	340.85	260.60
1998	243	1.010	-0.00	337.39	7.16	327.64	261.58
1998	244	1.009	-0.00	338.36	7.18	314.43	262.55
1998	245	1.009	-0.00	339.33	7.19	301.22	263.53
1998	246	1.009	-0.00	340.30	7.21	288.00	264.50
1998	247	1.009	-0.00	341.27	7.22	274.79	265.48
1998	248	1.008	-0.00	342.24	7.22	261.58	266.46
1998	249	1.008	-0.00	343.20	7.23	248.37	267.43
1998	250	1.008	-0.00	344.17	7.24	235.16	268.41
1998	251	1.008	-0.00	345.15	7.24	222.02	269.39
1998	252	1.007	-0.00	346.12	7.24	208.81	270.37
1998	253	1.007	-0.00	347.09	7.24	195.60	271.35
1998	254	1.007	-0.00	348.06	7.23	182.39	272.33
1998	255	1.007	-0.00	349.03	7.23	169.18	273.31
1998	256	1.006	-0.00	350.01	7.22	155.98	274.29
1998	257	1.006	-0.00	350.98	7.21	142.77	275.27
1998	258	1.006	-0.00	351.95	7.20	129.57	276.25
1998	259	1.005	-0.00	352.93	7.18	116.36	277.23
1998	260	1.005	-0.00	353.90	7.16	103.15	278.22
1998	261	1.005	-0.00	354.88	7.15	89.95	279.20
1998	262	1.005	-0.00	355.85	7.13	76.75	280.18
1998	263	1.004	-0.00	356.83	7.10	63.54	281.17
1998	264	1.004	-0.00	357.81	7.08	50.34	282.15
1998	265	1.004	-0.00	358.79	7.05	37.14	283.14
1998	266	1.004	-0.00	359.76	7.02	23.94	284.12
1998	267	1.003	0.00	0.74	6.99	10.73	285.11
1998	268	1.003	0.00	1.72	6.96	357.53	286.09
1998	269	1.003	0.00	2.70	6.92	344.33	287.08
1998	270	1.002	0.00	3.68	6.89	331.13	288.07
1998	271	1.002	0.00	4.66	6.85	317.99	289.06
1998	272	1.002	0.00	5.65	6.80	304.79	290.04
1998	273	1.002	0.00	6.63	6.76	291.59	291.03
1998	274	1.001	0.00	7.61	6.72	278.39	292.02
1998	275	1.001	0.00	8.59	6.67	265.20	293.01
1998	276	1.001	0.00	9.58	6.62	252.00	294.00
1998	277	1.000	0.00	10.56	6.57	238.80	294.99
1998	278	1.000	0.00	11.55	6.51	225.60	295.98
1998	279	1.000	0.00	12.53	6.46	212.41	296.97
1998	280	1.000	0.00	13.52	6.40	199.21	297.96
1998	281	0.999	0.00	14.51	6.34	186.01	298.95
1998	282	0.999	0.00	15.49	6.28	172.82	299.94
1998	283	0.999	0.00	16.48	6.22	159.62	300.93
1998	284	0.998	0.00	17.47	6.15	146.42	301.92
1998	285	0.998	0.00	18.46	6.09	133.23	302.92
1998	286	0.998	0.00	19.45	6.02	120.03	303.91
1998	287	0.998	0.00	20.44	5.95	106.84	304.90
1998	288	0.997	0.00	21.43	5.87	93.65	305.90
1998	289	0.997	0.00	22.42	5.80	80.45	306.89
1998	290	0.997	0.00	23.41	5.72	67.26	307.88
1998	291	0.996	0.00	24.40	5.65	54.13	308.88
1998	292	0.996	0.00	25.40	5.57	40.93	309.87
1998	293	0.996	0.00	26.39	5.49	27.74	310.87
1998	294	0.996	0.00	27.39	5.40	14.55	311.86
1998	295	0.995	0.00	28.38	5.32	1.36	312.86
1998	296	0.995	0.00	29.37	5.23	348.17	313.85
1998	297	0.995	0.00	30.37	5.15	334.97	314.85
1998	298	0.994	0.00	31.37	5.06	321.78	315.85
1998	299	0.994	0.00	32.36	4.97	308.59	316.84
1998	300	0.994	0.00	33.36	4.87	295.40	317.84
1998	301	0.994	0.00	34.36	4.78	282.21	318.84
1998	302	0.993	0.00	35.36	4.68	269.02	319.83
1998	303	0.993	0.00	36.36	4.59	255.83	320.83
1998	304	0.993	0.00	37.36	4.49	242.64	321.83
1998	305	0.993	0.00	38.36	4.39	229.45	322.83
1998	306	0.992	0.00	39.36	4.29	216.26	323.82
1998	307	0.992	0.00	40.36	4.19	203.07	324.82
1998	308	0.992	0.00	41.36	4.08	189.88	325.82
1998	309	0.992	0.00	42.36	3.98	176.70	326.82
1998	310	0.991	0.00	43.36	3.87	163.51	327.82
1998	311	0.991	0.00	44.37	3.76	150.38	328.82
1998	312	0.991	0.00	45.37	3.65	137.19	329.82
1998	313	0.991	0.00	46.37	3.54	124.01	330.82
1998	314	0.990	0.00	47.38	3.43	110.82	331.82
1998	315	0.990	0.00	48.38	3.32	97.63	332.82
1998	316	0.990	0.00	49.39	3.21	84.44	333.82
1998	317	0.990	0.00	50.40	3.09	71.26	334.82
1998	318	0.989	0.00	51.40	2.98	58.07	335.82
1998	319	0.989	0.00	52.41	2.86	44.89	336.82
1998	320	0.989	0.00	53.42	2.74	31.70	337.83
1998	321	0.989	0.00	54.42	2.63	18.51	338.83
1998	322	0.989	0.00	55.43	2.51	5.33	339.83
1998	323	0.988	0.00	56.44	2.39	352.14	340.83
1998	324	0.988	0.00	57.45	2.27	338.96	341.83
1998	325	0.988	0.00	58.46	2.15	325.77	342.84
1998	326	0.988	0.00	59.47	2.02	312.59	343.84
1998	327	0.988	0.00	60.48	1.90	299.41	344.84
1998	328	0.987	0.00	61.49	1.78	286.22	345.85
1998	329	0.987	0.00	62.50	1.65	273.04	346.85
1998	330	0.987	0.00	63.51	1.53	259.86	347.86
1998	331	0.987	0.00	64.53	1.41	246.73	348.86
1998	332	0.987	0.00	65.54	1.28	233.55	349.86
1998	333	0.986	0.00	66.55	1.15	220.37	350.87
1998	334	0.986	0.00	67.56	1.03	207.19	351.87
1998	335	0.986	0.00	68.58	0.90	194.01	352.88
1998	336	0.986	0.00	69.59	0.78	180.82	353.89
1998	337	0.986	0.00	70.60	0.65	167.64	354.89
1998	338	0.986	0.00	71.62	0.52	154.46	355.90
1998	339	0.985	0.00	72.63	0.39	141.28	356.90
1998	340	0.985	0.00	73.65	0.27	128.10	357.91
1998	341	0.985	0.00	74.66	0.14	114.92	358.92
1998	342	0.985	0.00	75.68	0.01	101.74	359.93
1998	343	0.985	0.00	76.69	-0.12	88.56	0.93
1998	344	0.985	0.00	77.71	-0.25	75.38	1.94
1998	345	0.985	0.00	78.73	-0.37	62.20	2.95
1998	346	0.985	0.00	79.74	-0.50	49.02	3.96
1998	347	0.984	0.00	80.76	-0.63	35.84	4.97
1998	348	0.984	0.00	81.78	-0.76	22.66	5.98
1998	349	0.984	0.00	82.79	-0.88	9.48	6.98
1998	350	0.984	0.00	83.81	-1.01	356.31	7.99
