YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	208	1.573	1.23	91.11	-0.70	217.90	15.40
1998	209	1.574	1.24	91.60	-0.74	204.20	15.88
1998	210	1.575	1.25	92.09	-0.79	190.50	16.37
1998	211	1.576	1.26	92.58	-0.84	176.86	16.86
1998	212	1.577	1.27	93.07	-0.89	163.15	17.34
1998	213	1.578	1.28	93.55	-0.93	149.45	17.83
1998	214	1.580	1.29	94.04	-0.98	135.75	18.31
1998	215	1.581	1.31	94.52	-1.03	122.04	18.79
1998	216	1.582	1.32	95.01	-1.07	108.34	19.27
1998	217	1.583	1.33	95.49	-1.12	94.63	19.76
1998	218	1.584	1.34	95.98	-1.17	80.92	20.24
1998	219	1.585	1.35	96.46	-1.21	67.22	20.72
1998	220	1.586	1.36	96.94	-1.26	53.51	21.20
1998	221	1.588	1.37	97.42	-1.31	39.80	21.68
1998	222	1.589	1.38	97.90	-1.35	26.09	22.15
1998	223	1.590	1.39	98.38	-1.40	12.38	22.63
1998	224	1.591	1.40	98.86	-1.44	358.67	23.11
1998	225	1.592	1.41	99.34	-1.49	344.96	23.58
1998	226	1.593	1.42	99.82	-1.53	331.25	24.06
1998	227	1.594	1.43	100.29	-1.58	317.53	24.53
1998	228	1.595	1.44	100.77	-1.62	303.82	25.01
1998	229	1.596	1.45	101.25	-1.67	290.11	25.48
1998	230	1.597	1.46	101.72	-1.71	276.39	25.96
1998	231	1.598	1.47	102.19	-1.76	262.74	26.43
1998	232	1.599	1.48	102.67	-1.80	249.03	26.90
1998	233	1.601	1.49	103.14	-1.85	235.31	27.37
1998	234	1.602	1.50	103.61	-1.89	221.59	27.84
1998	235	1.603	1.50	104.09	-1.93	207.88	28.31
1998	236	1.604	1.51	104.56	-1.98	194.16	28.78
1998	237	1.605	1.52	105.03	-2.02	180.44	29.25
1998	238	1.606	1.53	105.50	-2.06	166.72	29.72
1998	239	1.607	1.54	105.97	-2.11	153.00	30.19
1998	240	1.608	1.55	106.44	-2.15	139.28	30.66
1998	241	1.609	1.56	106.91	-2.19	125.56	31.12
